factual_id,name,address,locality,region,post_code,country,latitude,longitude,category_labels,telephone,website
32ed4b99-d94e-43cd-b4f1-1988123a906f,7-Eleven,6802 S Yosemite St,Centennial,CO,80112,us,39.592868,-104.887624,"Retail, Convenience Stores",(303) 741-1784,
54228e0d-4a84-4093-8cc7-34319f866025,7-Eleven,1912 Liacouras Walk,Philadelphia,PA,19122,us,39.982519,-75.156054,"Retail, Convenience Stores",(215) 204-7799,
8c8d584b-e70d-487f-9014-ae968616d3e9,7-Eleven,1999 S Nova Rd,South Daytona,FL,32119,us,29.167006,-81.022988,"Retail, Convenience Stores",(386) 760-6455,
195ed8c2-53c9-4bef-aae4-6fbfa11e532a,7-Eleven,710 Bestgate Rd,Annapolis,MD,21401,us,38.996334,-76.528974,"Retail, Convenience Stores",(410) 266-0011,
17c2c0b3-9f0e-4da7-8678-eb6994081996,7-Eleven,6689 Cold Harbor Rd,Mechanicsville,VA,23111,us,37.590327,-77.318052,"Retail, Convenience Stores",(804) 746-5718,
2787d503-d360-4e7a-87bb-087d90b705c3,7-Eleven,6800 Bustleton Ave,Philadelphia,PA,19149,us,40.040919,-75.065638,"Retail, Convenience Stores",(267) 538-2767,
d3b1db7d-396c-4359-adb1-415215a41947,7-Eleven,2145 State Route 35,Holmdel,NJ,7733,us,40.415429,-74.159696,"Retail, Convenience Stores",(732) 264-3105,
45b19ea8-83f4-4f13-b69d-7080e5a71114,7-Eleven,174 Higbie Ln,West Islip,NY,11795,us,40.706046,-73.307145,"Retail, Convenience Stores",(631) 661-9309,
5b146d96-468b-4a3d-b604-32eae8711a5c,7-Eleven,20955 Davenport Dr,Sterling,VA,20165,us,39.035934,-77.410676,"Retail, Convenience Stores",(703) 430-1089,
917a1fb0-7f02-48e4-bc0b-40dc67a2fff4,7-Eleven,2760 Trenton Rd,Levittown,PA,19056,us,40.167959,-74.877463,"Retail, Convenience Stores",(215) 946-8017,
7d555e80-1e18-012f-0643-0030487f54d8,7-Eleven,200 S High St,West Chester,PA,19382,us,39.957784,-75.60281,"Retail, Convenience Stores",(610) 436-4694,
0edc0c40-dcfd-4f0a-ad73-60ded43965c4,7-Eleven,8180 Blue Diamond Rd,Las Vegas,NV,89178,us,36.020968,-115.269798,"Retail, Convenience Stores",(702) 875-4187,
18e57d6b-b92c-40dd-849a-03179a872575,7-Eleven,211 W 28th St,Baltimore,MD,21211,us,39.321226,-76.620888,"Retail, Convenience Stores",(443) 835-1877,
26d00399-ceca-4b3b-b025-f10514cf3e49,7-Eleven,217 Sutter St,San Francisco,CA,94108,us,37.789686,-122.404257,"Retail, Convenience Stores",(415) 362-0590,
2149e09f-3244-4244-93a8-8287b33e8c92,7-Eleven,118 Godwin Ave,Midland Park,NJ,7432,us,40.986052,-74.138686,"Retail, Convenience Stores",(201) 652-0711,
dfc6f35d-26ca-4b71-b418-01d421f3679b,7-Eleven,1199 Palm Bay Rd,Melbourne,FL,32905,us,28.035871,-80.638607,"Retail, Convenience Stores",(321) 952-4334,
ea22210b-9e89-4f9e-a02b-c6fb6d623419,7-Eleven,38 Passaic Ave,Nutley,NJ,7110,us,40.80872,-74.158152,"Retail, Convenience Stores",(973) 235-9529,
089abcd4-3d3b-4ce5-a8c0-9e3d133cf7f6,7-Eleven,46141 Woodshire Dr,Sterling,VA,20166,us,39.025224,-77.403724,"Retail, Convenience Stores",(571) 434-6298,
17ea2680-40a5-46ea-bcc7-f8eb0aeb53b2,7-Eleven,2 E Main St,Marlton,NJ,8053,us,39.891659,-74.921838,"Retail, Convenience Stores",(856) 596-9549,
806dc35e-0b60-4e11-b042-7812c2c7377a,7-Eleven,2910 Patterson Ave,Richmond,VA,23221,us,37.560443,-77.473918,"Retail, Convenience Stores",(804) 353-4377,
176721b9-7421-464f-9290-c986c7983384,7-Eleven,2138 Hempstead Tpke,East Meadow,NY,11554,us,40.724672,-73.557487,"Retail, Convenience Stores",(516) 357-2517,
31b0d67f-ee29-4018-b911-d9f8b0dc2b2f,7-Eleven,10410 Melody Dr,Northglenn,CO,80234,us,39.8858,-104.992704,"Retail, Convenience Stores",(303) 252-7505,
03a9d25e-7675-4e52-8dc0-b5ca25203558,7-Eleven,301 Union Ave,Holbrook,NY,11741,us,40.812381,-73.081077,"Retail, Convenience Stores",(631) 588-9392,
c1815c11-0c92-4338-9824-48a19537723c,7-Eleven,261 Dartmouth St,Boston,MA,2116,us,42.350476,-71.077384,"Retail, Convenience Stores",(617) 262-1212,
44505a63-10d3-4334-a6bd-257f6efac2b9,7-Eleven,1741 Hooper Ave,Toms River,NJ,8753,us,40.005163,-74.15016,"Retail, Convenience Stores",(732) 255-8564,
18f84498-d89d-4eab-91a8-211eb06141c5,7-Eleven,35015 Fremont Blvd,Fremont,CA,94536,us,37.570185,-122.032358,"Retail, Convenience Stores",(510) 792-7111,
12f8f78b-04c7-40e4-86a7-efddd18e2784,7-Eleven,2093 Lynnhaven Pkwy,Virginia Beach,VA,23456,us,36.789846,-76.124554,"Retail, Convenience Stores",(757) 416-0261,
297a78db-b4fb-484d-9bf6-d6da1ab67a85,7-Eleven,408 W 15th St,Austin,TX,78701,us,30.278541,-97.743672,"Retail, Convenience Stores",(512) 474-1060,
2dbe36e4-1d7c-4627-a578-f4d3159313a9,7-Eleven,1 E Camden Ave,Moorestown,NJ,8057,us,39.95816,-74.978865,"Retail, Convenience Stores",(856) 722-0711,
8415585c-1db4-42ba-bf56-d6cf538c91cc,7-Eleven,370 Broadway,Lawrence,MA,1841,us,42.711554,-71.174278,"Retail, Convenience Stores",(978) 686-1633,
79bea077-e252-4bf1-b16c-9ec9a88319b7,7-Eleven,29318 Orchard Lake Rd,Farmington Hills,MI,48334,us,42.512851,-83.358593,"Retail, Convenience Stores",(248) 851-6177,
b16e458a-72e8-4d24-b33a-ec74ddfd9271,7-Eleven,1613 Dixon St,Fredericksburg,VA,22401,us,38.281902,-77.454401,"Retail, Convenience Stores",(540) 373-1753,
443ede75-9d07-4b5a-b16f-74d25ca7557f,7-Eleven,2895 Willamette St,Eugene,OR,97405,us,44.026453,-123.090319,"Retail, Convenience Stores",(541) 484-0247,
0349e0ff-f5b7-4ffa-9f70-9f94e56e5a7d,7-Eleven,12 E Main St,Middletown,PA,17057,us,40.19959,-76.730642,"Retail, Convenience Stores",(717) 944-5639,
1187528f-0d86-414f-8ec1-8baae1ea0afa,7-Eleven,12351 Taft St,Pembroke Pines,FL,33026,us,26.02288,-80.31168,"Retail, Convenience Stores",(954) 432-7577,
20e51e65-6a46-4183-8525-b732810dd2ba,7-Eleven,14500 Jefferson Ave,Newport News,VA,23603,us,37.208012,-76.573827,"Retail, Convenience Stores",(757) 887-0100,
0cf1d39e-88a1-446d-acd4-7544f21a442a,7-Eleven,8901 Wornall Rd,Kansas City,MO,64114,us,38.966622,-94.594862,"Retail, Convenience Stores",(816) 361-1211,
12be8a7a-9d61-481d-b240-9ef76ef5b156,7-Eleven,12011 Gateway Blvd,Fort Myers,FL,33913,us,26.571102,-81.748125,"Retail, Convenience Stores",(239) 454-0225,
